Topics;Prob;Frex;Label
1;african french european century colonial france africa british canada england;french france canada canadian ghana haitian des aboriginal quebec australia;French/Can Soc
2;identity discourse way practice cultural culture social construct work construction;identity negotiate discursive construction understanding discourse ethnography situate everyday_life everyday;Identity
3;religious religion church christian catholic spiritual ritual religiosity spirituality value;church congregation evangelical denomination pastor worship mormon catholic protestant congregational;Religion
4;hispanic mexican latino california mexico mexican_american los angeles acculturation puerto_rican;mexican mexico mexican_american los angeles puerto_rican latina chicano puerto_rico cuban;Race: Latinx
5;perception relationship perceive role satisfaction self positive expectation self_esteem relate;perception perceive satisfaction self_esteem self_concept self_perception expectation self congruence discrepancy;Self-perception
6;violence abuse victim domestic_violence report victimization fear violent rape survivor;violence abuse domestic_violence victimization rape sexual_abuse sexual_harassment perpetrator ipv batter_woman;Violence
7;school teacher student classroom teach curriculum educator learn grade high_school;teacher public_school school_district teacher_student student_teacher charter_school school_choice teacher_perception school_reform urban_school;School
8;child placement childhood adoption good foster_care outcome foster adopt adult;foster_care child_maltreatment foster_parent adoptive adoptee foster_child adoptive_parent permanency child_welfare_system foster_youth;Child welfare
9;patient medical hospital physician treatment illness health_care medicine cancer diagnosis;physician hospitalization surgery mental_illness medical hmo chronic_pain medication pharmacist asthma;Medical
10;community local environmental rural resident place area environment land resource;forest rural_community climate_change community conservation appalachian local_community environmental_justice earthquake fishery;Rural / environ
11;program intervention treatment train evaluation effectiveness increase change participant improve;experimental_group treatment_group pretest_posttest posttest program intervention program_evaluation effectiveness workshop substance_abuse_treatment;Method: experiments
12;household increase income rate population economic level find estimate high;expenditure income_inequality household saving income tax estimate per_caput cost investment;Econ soc
13;student college academic course university campus class college_student undergraduate persistence;freshman grade_point_average international_student college_students service_learn campus instructor semester gpa tinto;College students
14;measure scale score level sample test factor item questionnaire instrument;score subscale locus_control inventory item scale anova significant_difference_find instrument chi_square;Method: survey/scales
15;political movement politic elite war democratic activist democracy party social_movement;social_movement protest electoral election mobilization activism activist democracy political democratic;Social movement
16;technology information drug user internet computer online adoption technological diffusion;internet online digital gamble saudi saudi_arabia casino addict gaming facebook;Internet
17;labor industry economic market economy production class worker industrial farm;agricultural farm agriculture industrial crop irrigation farmer factory capitalist economy;Labor
18;gender female male man sexual sex sexuality male_female drink gay;gay lesbian homosexual homosexuality sexual_orientation gay_man lgbt transgender sexual_identity homophobia;Gender: sexuality
19;professional success career goal successful socialization barrier work position profession;career mentor career_development career_choice success recruitment professionalism mentor_relationship engineer successful;Career
20;activity participation involvement motivation participate disability volunteer leisure engagement association;participation activity recreation volunteer outdoor leisure civic_engagement camp disability motivation;Participation
21;language english linguistic japanese literacy speech speaker write sociolinguistic japan;linguistic speaker sociolinguistic dialect sociolinguistics vowel grammar phonological grammatical code_switch;Sociolinguistics
22;service agency staff state public center fund policy county department;service board agency social_service service_delivery personnel referral fund staff director;Social Services
23;group subject status task individual preference identification cognitive condition high;group attribution identification group_member cognitive trait gift preference judgment each_group;Status/groups
24;care nurse loss death grief resident family_member nurse_home hospice home;nurse grief nurse_home hospice bereavement bereave nurse_care register_nurse grieve end_life;Illness
25;theory social concept moral human work sociology think analysis chapter;philosophical moral habermas rationality theorist weber marx sociology_knowledge epistemological conception;Theory
26;method science datum model system analysis technique scientific cluster result;scientist graph science algorithm error cluster dna parameter simulation inference;Science
27;organization organizational action member institutional structure collaboration environment empowerment case;collaboration organizational_structure stakeholder collaborative participatory nonprofit organization partnership advocacy bureaucratic;Organizations
