"","m5",""
"","b","p"
"_t","",""
"Elite","1.720371","0"
"Female",".9064652",".0753017"
"White","1.453947","6.54e-10"
"Insider","1.427214","6.36e-10"
"log_Pub_Cum",".6641718","2.51e-07"
"HHI",".9738847",".4721449"
"Novelty","1.08861",".005958"
"Consistency","1.752172","2.58e-09"
"Consistency_Square",".8680565",".0001233"
"c.HHI#c.log_Pub_Cum",".9960898",".8625879"
"c.Novelty#c.log_Pub_Cum","1.008292",".7294345"
"c.Consistency#c.log_Pub_Cum","1.761531","2.43e-10"
"c.Consistency_Square#c.log_Pub_Cum",".9088958",".000722"
"T1",".7354054",".0019614"
"T2","1.569208","4.07e-09"
"T3",".7507339",".0042399"
"T4","1.058634",".4890811"
"T5",".996673",".9707777"
"T6",".8760894",".1043789"
"T7","1.154515",".1606569"
"T8",".9958168",".9635133"
"T9",".8051414",".0337785"
"T10",".9672704",".7151907"
"T11",".9367038",".4955449"
"T12","1.057028",".5208518"
"T13",".7563561",".0072795"
"T14",".6701012",".0002175"
"T15","1.089919",".3165442"
"T16",".8413784",".0547146"
"T17",".9315345",".4281927"
"T18","1.002932",".9715662"
"T19",".7935262",".0188993"
"T20","1.045415",".5989311"
"T21",".859297",".1168349"
"T22",".815871",".0434451"
"T23",".9276455",".4138691"
"T24",".8888505",".2427077"
"T25",".9040584",".3125964"
"T26","1.009018",".9296758"
"T27","1.071412",".4614263"
"T28",".979754",".8188693"
"T29","1.053682",".5358934"
"T30",".8886325",".2274349"
"T31","1.04515",".5964309"
"T32",".7509735",".0027968"
"T33",".9124521",".2786861"
"T34","1.316323",".0006548"
"T35","1.051333",".5900349"
"T36",".6519238",".0000143"
"T37",".9906264",".9255335"
"T38","1.206989",".0194185"
"T39","1.202041",".0413526"
"T40",".7882966",".0110364"
"T41","1.160461",".1026965"
"T42","1.107027",".256733"
"T43","1.07339",".3727707"
"T44","1.122261",".2049203"
"T45","1.185527",".0561566"
"T46",".8153866",".0521421"
"T48","1.243575",".0053034"
"T49",".94801",".598697"
"T50","1.292817",".0008673"
"T51",".9517154",".5340852"
"T52","1.168225",".0765668"
"T53",".8881404",".2039204"
"T54",".9288864",".428712"
"T55","1.152285",".1067644"
"T56",".8573428",".1096985"
"T57",".8555872",".1051369"
"T58","1.387259",".000014"
"T59",".7164395",".0006149"
"T60",".957607",".6272548"
"N","79137",""
