"","m5",""
"","b","se"
"_t","",""
"Elite","1.671629",".0983721"
"Female",".9153222",".0494944"
"White","1.439207",".0863809"
"Insider","1.460913",".0841261"
"log_Pub_Cum",".6747578",".0527782"
"HHI",".9491863",".0360808"
"Novelty","1.0774",".0327659"
"Consistency","1.747755",".1631656"
"Consistency_Square",".8704817",".0318314"
"c.HHI#c.log_Pub_Cum",".9980859",".0222871"
"c.Novelty#c.log_Pub_Cum","1.007931",".0241968"
"c.Consistency#c.log_Pub_Cum","1.71106",".1524519"
"c.Consistency_Square#c.log_Pub_Cum",".9144067",".0258347"
"T1",".8507737",".0786833"
"T2","1.386149",".1015092"
"T3",".7394888",".0572749"
"T4","1.042471",".0726803"
"T5",".9136912",".0663535"
"T6",".8768787",".0623213"
"T7","1.240546",".1386253"
"T8",".8880404",".0774129"
"T9","1.111375",".0965087"
"T10",".9910625",".0696051"
"T11","1.003179",".0760065"
"T12","1.05832",".0840417"
"T13",".7887528",".0821912"
"T14",".6799286",".0672453"
"T15",".8888577",".0732952"
"T16",".8366504",".0681743"
"T17","1.009285",".0828965"
"T18",".9156199",".0649798"
"T19",".8170175",".0594287"
"T20","1.088544",".0799321"
"T21",".8888303",".0697584"
"T22",".9045878",".0712954"
"T23",".9323546",".0639562"
"T24",".8223449",".0707223"
"T25","1.151838",".0859683"
"T26",".9588538",".0710339"
"T27","1.080388",".0893323"
"T28",".9557765",".0746185"
"T29","1.142466",".0815202"
"T30",".9563982",".0809615"
"T31",".8637736",".0632992"
"T32",".9353916",".0761716"
"T33","1.081089",".0764779"
"T34",".9756495",".0712877"
"T35","1.034349",".0819801"
"T36",".9003264",".062404"
"T37",".8838828",".0783587"
"T38","1.109335",".0839968"
"T39","1.066622",".0861643"
"T40",".957344",".071278"
"T41","1.099344",".0756077"
"T42","1.014264",".0864272"
"T43",".9750382",".065027"
"T44",".9091754",".072086"
"T45","1.016739",".0686941"
"T46",".9758534",".085718"
"T48","1.318238",".0976526"
"T49",".9305902",".0911473"
"T50","1.379979",".0906152"
"T51","1.067096",".0736215"
"T52","1.090183",".077116"
"T53",".8986836",".0705689"
"T54","1.004163",".0819444"
"T55","1.043751",".0749609"
"T56","1.050491",".0762664"
"T57",".8495857",".0644342"
"T58","1.249522",".0790413"
"T59",".7069468",".0542892"
"T60","1.029915",".0663894"
"N","79137",""
